panel,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,survey_item,response_options,original_varcode,varcode,info_source,comment,reverse_coding,behav_type,behav_paid,dependencies
SOEP,Propensity,Domain_specific,Driving,Ordinal,11,NA,"English: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas?
How is it while driving?

[German: Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das beim Autofahren?]

","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0197,RISK_DRI_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0197
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014",N,NA,NA,NA
SOEP,Propensity,Domain_specific,Investment,Ordinal,11,NA,"English: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas?
How is it in financial matters?

[German: Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das bei Geldanlagen?]

","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0198,RISK_FIN_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0198
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014",N,NA,NA,NA
SOEP,Propensity,Domain_specific,Gen.Health,Ordinal,11,NA,"English: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas?
How is it with your health?

[German Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das bei ihrer Gesundheit?]","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0201,RISK_HEA_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0201
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014",N,NA,NA,NA
SOEP,Propensity,Domain_specific,Occupation,Ordinal,11,NA,"English: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas?
How is it in your occupation? 

[German: Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das bei ihrer beruflichen Karriere?]

","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0200,RISK_OCC_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0200
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014",N,NA,NA,NA
SOEP,Propensity,Domain_specific,Recreation,Ordinal,11,NA,"English: One can evaluate different areas in a different way. How do you evaluate your attitude towards risk regarding the following areas?
How is it in leisure time and sport?

[German: Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das bei Freizeit und Sport?]

","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0199,RISK_REC_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0199
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014",N,NA,NA,NA
SOEP,Propensity,General,General,Ordinal,11,NA,"English: How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks? 

[German: Wie schätzen Sie sich persönlich ein:Sind Sie im Allgemeinen ein risikobereiter Mensch oder versuchen Sie, Risiken zu vermeiden?]
","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0204_h,RISK_GEN_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0204_h
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2006,2008- 2019

German version of the question remains the same throughout the waves, however the English translation varies slightly (used 2004-2011 translation).",N,NA,NA,NA
SOEP,Propensity,Domain_specific,Social,Ordinal,11,NA,"
English: People can behave differently in different situations.How would you rate your willingness to take risks in the following areas? 
How is it (with) your faith in other people?

[German: Man kann sich in verschiedenen Bereichen ja unterschiedlich verhalten.Wie würden Sie Ihre Risikobereitschaft in Bezug auf die folgenden Bereiche einschätzen?
Wie ist das beim Vertrauen in fremde Menschen?]
","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",plh0202,RISK_SOC_ORD11A,"Codebook: https://paneldata.org/soep-core/data/pl/plh0202
Questionnnaires: https://www.diw.de/en/diw_02.c.222729.en/questionnaires.html","asked in 2004, 2009, 2014
German version of the question stays the same throughout the years, English translation changes",N,NA,NA,NA
SOEP_CoV,Propensity,General,General,Ordinal,11,NA,"English: How do you see yourself: Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks? 

[German: Wie schätzen Sie sich persönlich ein:Sind Sie im Allgemeinen ein risikobereiter Mensch oder versuchen Sie, Risiken zu vermeiden?]
","English:
0) Risk-averse
....
10) Fully prepared to take risks


[German: 
0) Gar nicht risikobereit
....
10) Sehr risikobereit]",prisk_n,RISK_GEN_ORD11A,"Codebook:
https://www.diw.de/documents/publikationen/73/diw_01.c.842617.de/diw_ssp1113.pdf",asked in 2020 and 2021,N,NA,NA,NA
TWINLIFE,Propensity,General,General,Ordinal,11,NA,"Would you describe yourself as someone who is willing to take risks or as someone who tries to avoid risks? In other words, do you often try things that could go wrong, or do you prefer to play it safe?","
0) not at all prepared to take risks
...
10) very prepared to take risks",per0200,RISK_GEN_ORD11A,"codebooks:https://www.twin-life.de/documentation/images/TwinLife/Downloads/ZA6701_cod_wid3.pdf
https://www.twin-life.de/documentation/images/TwinLife/Downloads/ZA6701_cod_wid1.pdf",asked in waves F2F 1; F2F 2; F2F 3,N,NA,NA,NA
UAS,Propensity,Domain_specific,Investment,Ordinal,11,NA,"UAS 166: Are you generally a person who is fully prepared to take financial risks?

UAS 226: Thinking about the financial decisions you make: Do you usually try to avoid taking financial risks, or are you willing to take financial risks? Please rate yourself from 0 to 10, where 0 means ""try to avoid taking financial risks” and 10 means ""very willing to take financial risks.""

","UAS 166:
1) Not at all prepared to take financial risks
.....
11) Very prepared to take financial risks


UAS 226: 
0) Try to avoid taking financial risks
....
10) Very willing to take financial risks；
","eoy18_09 (UAS 166)
FIN005 / FIN005_scale / FIN005_DK (UAS 226)
",RISK_FIN_ORD11A,"
Variable search tool:
https://uasdata.usc.edu/index.php

","asked in surveys UAS166, UAS226
",N,NA,NA,NA
UAS,Propensity,General,General,Ordinal,11,NA,"Are you generally a person who tries to avoid taking risks or one who is fully prepared to take risks? Please rate yourself from 0 to 10, where 0 means ""not at all willing to take risks"" and 10 means ""very willing to take risks.""","0) Not at all willing to take risks
...
10) Very willing to take risks","
B132_ (UAS20, UAS95, UAS185,  UAS396)

FIN004 (UAS164, UAS193, UAS331)

",RISK_GEN_ORD11A,"
Variable search tool:
https://uasdata.usc.edu/index.php

","asked in surveys UAS20, UAS95, UAS185,  UAS396, UAS164, UAS193, UAS331",N,NA,NA,NA
ULMS,Propensity,General,General,Ordinal,11,NA,"How do you see yourself? Are you generally a person who is fully willing to take risks or do you try to avoid taking risks? Please give me a number from 0 to 10, where the value 0 means: ""Completely unwilling to take risks"" and the value 10 means: ""Completely willing to take risks"". You can use the values in between to make your estimate.
","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B33 (2012)
v1644 (2007)",RISK_GEN_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
ULMS,Propensity,Domain_specific,Driving,Ordinal,11,NA,"People can behave differently in different situations. How would you rate your willingness to take risks in the following contexts? Please give me a number from 0 to 10 for each situation! How would you rate your willingness to take risks…
…while driving a car?","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B34_1 (2012)
v1645 (2007)",RISK_DRI_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
ULMS,Propensity,Domain_specific,Investment,Ordinal,11,NA,"People can behave differently in different situations. How would you rate your willingness to take risks in the following contexts? Please give me a number from 0 to 10 for each situation! How would you rate your willingness to take risks…
…in financial mattersr?","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B34_2 (2012)
v1646 (2007)",RISK_FIN_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
ULMS,Propensity,Domain_specific,Recreation,Ordinal,11,NA,"People can behave differently in different situations. How would you rate your willingness to take risks in the following contexts? Please give me a number from 0 to 10 for each situation! How would you rate your willingness to take risks…
…during sports and leisure?","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B34_3 (2012)
v1647 (2007)",RISK_REC_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
ULMS,Propensity,Domain_specific,Occupation,Ordinal,11,NA,"People can behave differently in different situations. How would you rate your willingness to take risks in the following contexts? Please give me a number from 0 to 10 for each situation! How would you rate your willingness to take risks…
…in career matters?","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B34_4 (2012)
v1648 (2007)",RISK_OCC_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
ULMS,Propensity,Domain_specific,Gen.Health,Ordinal,11,NA,"People can behave differently in different situations. How would you rate your willingness to take risks in the following contexts? Please give me a number from 0 to 10 for each situation! How would you rate your willingness to take risks…
…in health matters?","0) Completely unwilling to take risks 
10) Completely willing  to take risk","B34_5 (2012)
v1649 (2007)",RISK_HEA_ORD11A,Questionnaire: https://datasets.iza.org/dataset/56/ukrainian-longitudinal-monitoring-survey,"asked in 2007, 2012",N,NA,NA,NA
USOC_IP,Propensity,Domain_specific,Investment,Ordinal,11,NA,"Are you generally a person who is fully prepared to take risks in financial matters or do you try to avoid taking risks?
","0) Unwilling  to take risks
...
10) Fully prepared to take risks",trflrisk,RISK_FIN_ORD11A,"Online codebook: 
https://www.understandingsociety.ac.uk/documentation/innovation-panel/dataset-documentation/variable/trflrisk   

Questionnaires
https://www.understandingsociety.ac.uk/documentation/innovation-panel/questionnaires","asked in waves: W6, W7 

W6 and W7 data used in:
Galizzi, Matteo, Machado, Sara R. and Miniaci, Raffaele, (2016), Temporal stability, cross-validity, and external validity of risk preferences measures: experimental evidence from a UK representative sample, LSE Research Online Documents on Economics, London School of Economics and Political Science, LSE Library, https://EconPapers.repec.org/RePEc:ehl:lserod:67554.",N,NA,NA,NA
USOC_IP,Propensity,General,General,Ordinal,11,NA,"Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?
","0) Unwilling  to take risks
...
10 ) Fully prepared to take risks","
trriska (W6, W7)
scriska (W1)",RISK_GEN_ORD11A,"Online codebook: 
W1 - https://www.understandingsociety.ac.uk/documentation/innovation-panel/dataset-documentation/variable/scriska 
W6, W7 - https://www.understandingsociety.ac.uk/documentation/innovation-panel/dataset-documentation/variable/trriska   

Questionnaires
https://www.understandingsociety.ac.uk/documentation/innovation-panel/questionnaires","asked in waves: W1, W6, W7 

W6 and W7 data used in:
Galizzi, Matteo, Machado, Sara R. and Miniaci, Raffaele, (2016), Temporal stability, cross-validity, and external validity of risk preferences measures: experimental evidence from a UK representative sample, LSE Research Online Documents on Economics, London School of Economics and Political Science, LSE Library,https://EconPapers.repec.org/RePEc:ehl:lserod:67554.",N,NA,NA,NA
USOC_IP,Propensity,Domain_specific,Gen.Health,Ordinal,11,NA,Are you generally a person who is fully prepared to take risks in health or do you try to avoid taking risks?,"0) Unwilling  to take risks
...
10) Fully prepared to take risks",trhlrisk,RISK_HEA_ORD11A,"Online codebook: 
https://www.understandingsociety.ac.uk/documentation/innovation-panel/dataset-documentation/variable/trhlrisk  

Questionnaires
https://www.understandingsociety.ac.uk/documentation/innovation-panel/questionnaires","asked in waves: W6, W7 

W6 and W7 data used in:
Galizzi, Matteo, Machado, Sara R. and Miniaci, Raffaele, (2016), Temporal stability, cross-validity, and external validity of risk preferences measures: experimental evidence from a UK representative sample, LSE Research Online Documents on Economics, London School of Economics and Political Science, LSE Library, https://EconPapers.repec.org/RePEc:ehl:lserod:67554.",N,NA,NA,NA
ANPS,Propensity,General,General,Ordinal,10,NA,Would you describe yourself as someone who tries to avoid risks (risk-averse) or as someone who is willing to take risks (risk-prone)?,"1) risk-averse
...
10) risk-prone",risk_stated,RISK_GEN_ORD10A,"Study:
https://www.sciencedirect.com/science/article/pii/S0165176521004377#fn3",asked in W1 and W2,N,NA,NA,NA
DRICHOUTIS,Propensity,General,General,Ordinal,11,NA,Are you generally a person who tries to avoid taking risks or one who is fully prepared to take risks?,"0) Not at all willing to take risks
...
10) Very willing to take risks",risk,RISK_GEN_ORD11A,Study: https://onlinelibrary.wiley.com/doi/full/10.1111/jems.12441,"asked in W1, W2, W3",N,NA,NA,NA
NSHAP,Propensity,General,General,Ordinal,4,NA,This section lists a number of characteristics that may or may not apply to you. Please read the words below and indicate how well each of the following DESCRIBES YOU: Adventurous,"0) not at all
1) a little
2) some
3) a lot",ADVENTUR,ADVENTU_ORD4A,Variable search: http://harmonize.icpsr.umich.edu/,asked in W2 and W3,N,NA,NA,NA
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"Below we will ask you to make a series of ten decisions between two options, one choice for each row of the table below. Each row describes 2 lotteries. For instance, in Decision 1, we will ask you to choose between a lottery with a 10% chance of winning $450 and a 90% chance of winning $0, and a lottery with a 50% chance of winning $450 and a 50% chance of winning $150. For all ten decisions, please tell us which you would prefer, Option A or Option B. Notice that Option A changes from row-to-row, and Option B stays the same. If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A: 10% chance of winning $450,  90% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150

","1) A
2) B","DRA_1a (ms246)
DRA_1a (ms315)
DRA_1a (ms474)

","CHOICE_DRA_1A

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A: 20% chance of winning $450, 80% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150","1) A
2) B","DRA_1b (ms246)
DRA_1b (ms315)
DRA_1b (ms474)

","CHOICE_DRA_1B

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  30% chance of winning $450, 70% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1c (ms246)
DRA_1c (ms315)
DRA_1c (ms474)

","CHOICE_DRA_1C

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  40% chance of winning $450, 60% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1d (ms246)
DRA_1d (ms315)
DRA_1d (ms474)

","CHOICE_DRA_1D

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A: 50% chance of winning $450, 50% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1e (ms246)
DRA_1e (ms315)
DRA_1e (ms474)

","CHOICE_DRA_1E

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  60% chance of winning $450, 40% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1f (ms246)
DRA_1f (ms315)
DRA_1f (ms474)

","CHOICE_DRA_1F

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  70% chance of winning $450, 30% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1g (ms246)
DRA_1g (ms315)
DRA_1g (ms474)

","CHOICE_DRA_1G

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  80% chance of winning $450, 20% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1h (ms246)
DRA_1h (ms315)
DRA_1h (ms474)

","CHOICE_DRA_1H

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  90% chance of winning $450, 10% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1i (ms246)
DRA_1i (ms315)
DRA_1i (ms474)

","CHOICE_DRA_1I

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"If you would rather play the lottery in Option A, check the box for Option A. If you would rather play the lottery in Option B, check the box for Option B.

Option A:  100% chance of winning $450, 0% chance of winning $0 
Option B: 50% chance of winning $450 and a 50% chance of winning $150
","1) A
2) B","DRA_1j (ms246)
DRA_1j (ms315)
DRA_1j (ms474)

","CHOICE_DRA_1J

(DRA1_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
ALP,Behaviour,Domain_specific,Gambling,Choice,2,NA,"Below we will ask you to make a series of ten decisions between two options, one choice for each row of the table below. Each row describes a lottery and a fixed payment. For instance, in Decision 1, we will ask you to choose between a lottery with a 10% chance of winning $450 and a 90% chance of winning $0, and a fixed payment of $150. For all ten decisions, please tell us which one you would prefer, Option A or Option B. Notice that Option A changes from row-to-row,  and Option B stays the same. If you would rather play the lottery, check the box for Option A. If you would rather have the fixed payment, check the box for Option B.

Option A:10% chance of winning $450, 90% chance of winning $0
Option B: fixed payment of $150","1) A
2) B","DRA_2a (ms246)
DRA_2a (ms315)
DRA_2a (ms474)

","CHOICE_DRA_2A

(DRA2_RISK)","ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=246&meid=8 
ms315 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=315&meid=8 
ms474 online codebook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=474&meid=8



ms246 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=246
ms315 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=315 
ms474 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=474","Combining responses to DRA_2a -DRA_2j to obtain an index of risk aversion

asked in surveys: ms246, ms315, ms474

For ms246, ms315 and ms474 randomDRA defines order of DRA_1 and DRA_2 questions. Choose 1 or 2 for testing.",NA,MPL,Hypothetical,none
